DIRECTORIO;TIP_FOR;P1;P1S1;P2;P2S1;P5;CTL_1;P8R;P9;P10R;P11R;P12;P13;P15R;P16S1;P16S2;P16S3;P16S4;P16S5;P16S6;P16S7;P16S8;P16S9;P17;P17S1;P17S2;P17S3;P17S4;P17S5;P17S6;P17S7;P17S8;P17S9;P17S10;P18;P19;P20;P20S1;P20S2;P20S3;P20S4;P20S5;P20S1A1;P20S2A1;P20S3A1;P20S4A1;P20S5A1;P21R;P22;P23;P23S1R;P24;P25;P26;P26S1;P26S2;P26S3;P26S4;P26S5;P26S6;P26_1;P26_2S1;P26_2S2;P26_2S3;P26_2S4;P26_2S5;P26_2S6;P26_2S7;P26_2S8;P27;P28R;P29;P30;P30S1;P30S2;P30S3;P30S4;P30S5;P30S6;P30S7;P30S8;P30S9;P30S1A1;P30S2A1;P30S3A1;P30S4A1;P30S5A1;P30S6A1;P30S7A1;P30S8A1;P30S9A1;P30_1;P30_2;P31;P32;P32S1;P32S2;P32S3;P32S4;P32S5;P32S6;P32S7;P32S8;P33;P33S1;P33S2;P33S3;P33S4;P33S5;P33S6;P33_1;P33_2;P33_2S1;P33_2S2;P33_2S3;P33_2S4;P33_2S5;P34;P35;P36R;P37S1;P37S2;P37S3;P37S4;P37S5;P37S6;P37S7;COMPLETA
111641;1;05;05001;1;10;2;1;46;1;3;1;1;2;2;4;4;2;4;4;3;4;2;4;1;;;;;;;;;1;;10;;;2;2;2;2;2;;;;;;1;7;;34;9;9;;2;2;1;1;2;2;4;;1;1;;;;;1;1;3;9;;2;1;2;2;1;2;2;2;2;;8;;;8;;;;;2;;2;;;;;;;;;;;2;2;1;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111642;1;05;05001;1;10;2;1;58;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;20;4;9;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;1;4;9;;1;1;1;2;2;1;2;2;2;18;18;18;;;18;;;;3;;1;2;;;;;;;1;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111643;1;05;05001;1;10;2;1;37;1;3;1;1;3;2;4;4;4;4;3;4;4;3;4;1;;;;;;;;;;1;1;1;;2;2;2;2;2;;;;;;1;10;;23;7;7;;2;2;1;2;2;2;3;;1;1;;;;1;1;1;4;7;;2;2;2;2;2;2;2;1;2;;;;;;;;19;;8;;1;1;;;;;;;;;;1;1;1;1;1;2;1;;1;2;1;1;1;1;;;;;;;;;;1
111644;1;05;05001;1;10;2;1;28;2;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;7;2;3;;1;1;1;2;2;2;1;1;1;1;1;;1;1;1;1;2;8;;1;2;2;1;2;1;2;1;1;7;;;9;;9;;9;9;6;1;1;2;;;;;;;1;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111645;1;05;05001;1;10;2;1;33;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;22;1;2;;2;2;1;2;2;2;3;;1;1;1;;1;1;1;1;4;7;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;;;;;;;;;;2;2;1;1;1;2;2;;2;1;2;2;1;1;;;;;;;;;;1
111646;1;05;05001;1;10;2;1;26;1;3;1;1;3;2;2;2;3;3;3;2;4;2;2;1;;;;;;;;;;1;11;;;2;2;2;2;2;;;;;;1;1;;9;4;9;;2;2;1;2;2;2;3;;1;1;1;;1;;1;1;3;9;;2;1;2;2;2;1;2;2;2;;8;;;;10;;;;2;;1;1;;;;;;;;;;1;2;1;2;1;2;1;;2;2;1;2;1;1;;;;;;;;;;1
111647;1;05;05001;1;10;2;1;34;1;3;1;1;3;2;3;4;3;4;3;4;4;4;4;1;;;;;;;;1;;;1;1;;2;2;2;2;2;;;;;;2;7;;21;9;8;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;2;1;1;;1;2;1;2;2;2;2;2;2;12;;12;;;;;;;3;;1;1;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;1;1;;;;;;;;;;1
111648;1;05;05001;1;10;2;1;70;1;5;2;1;2;2;4;4;2;3;2;4;4;4;3;1;;;;;;;;;1;;3;1;;2;2;2;2;2;;;;;;1;10;;35;9;9;;2;1;1;2;2;2;3;1;1;1;1;;;1;1;1;3;1;;2;2;1;2;2;1;2;2;2;;;28;;;48;;;;6;1;2;;;;;;;;;;;2;2;1;2;2;2;1;;2;2;2;2;1;1;;;;;;;;;;1
111649;1;05;05001;1;10;2;1;29;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;10;;2;11;2;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;1;3;9;;1;2;1;2;2;2;2;2;2;17;;20;;;;;;;1;;2;;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111650;1;05;05001;1;10;2;1;33;1;3;2;1;3;2;4;4;2;4;4;2;4;4;3;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;2;7;;5;7;1;;2;2;1;2;2;2;3;;1;1;;;;;1;1;3;5;;2;1;1;2;1;1;2;2;2;;17;18;;19;20;;;;6;2;2;;;;;;;;;;;1;2;1;1;1;2;1;;2;2;1;1;1;1;;;;;;;;;;1
111651;1;05;05001;1;10;2;1;29;1;3;1;1;3;2;3;4;4;4;4;4;4;4;3;1;;;;;1;;;;1;;1;1;;2;2;2;1;2;;;;1;;1;1;;12;1;2;;2;2;1;2;2;2;3;;1;1;1;;1;1;1;1;3;5;;1;1;1;2;2;1;2;1;2;15;15;15;;;18;;18;;6;3;1;2;;;;;;;1;;;1;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
111652;1;05;05001;1;10;2;1;28;1;3;1;1;1;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;20;1;3;;2;2;1;2;2;2;3;;1;1;;;;1;1;1;2;1;;2;1;1;1;2;2;2;1;2;;7;10;16;;;;20;;3;;1;1;;;;;;;;;;2;1;1;2;2;2;2;;1;2;2;2;1;1;;;;;;;;;;1
111653;1;05;05001;1;10;2;1;58;1;3;2;1;3;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;14;5;6;;1;2;1;2;2;2;1;1;1;;;;1;;1;1;2;1;;1;1;1;2;2;2;2;2;2;16;15;17;;;;;;;1;;1;1;;;;;;;;;;1;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111654;1;05;05001;1;10;2;1;58;1;3;2;1;3;2;4;4;4;1;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;11;;10;11;9;;2;2;1;2;2;2;3;;1;1;;;;;1;1;13;9;;1;2;2;2;2;2;2;2;2;15;;;;;;;;;1;;1;1;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
111655;1;05;05001;1;10;2;1;43;1;3;1;1;3;2;3;4;3;3;3;4;4;3;3;1;;;;;;1;;;;;11;;;2;2;2;2;2;;;;;;1;10;;29;1;9;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;1;3;6;;1;1;2;2;1;2;2;1;2;14;14;;;14;;;14;;5;;1;2;;;1;;;;;;;1;1;1;2;2;2;1;;2;2;2;1;1;1;;;;;;;;;;1
111656;1;05;05001;1;10;2;1;37;2;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;4;;12;1;9;;2;2;1;2;2;2;3;;1;1;1;;1;1;1;1;2;5;;1;1;1;1;2;1;2;2;2;12;12;12;12;;15;;;;3;;1;1;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;1;1;;;;;;;;;;1
111657;1;05;05001;1;10;2;1;56;1;3;1;1;2;2;4;4;3;3;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;25;1;9;;2;2;1;2;2;2;3;;1;1;1;;1;1;1;1;4;5;;2;1;1;2;2;1;2;2;2;;16;16;;;22;;;;2;;1;1;;;;;;;;;;2;2;2;1;2;2;2;;2;2;2;2;1;1;;;;;;;;;;1
111658;1;05;05001;1;10;2;1;54;1;3;1;1;3;1;4;4;2;3;3;3;4;3;3;2;;;;;;;;;;;;;;1;2;2;2;2;2;;;;;1;1;;25;1;9;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;1;2;4;;2;1;2;2;2;1;2;2;2;;25;;;;25;;;;6;3;2;;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
111659;1;05;05001;1;10;2;1;30;2;3;2;1;3;1;4;4;2;4;4;3;4;4;3;2;;;;;;;;;;;;;;2;2;2;2;1;;;;;2;1;1;;1;1;3;;1;2;2;2;2;2;1;;1;1;1;1;1;1;1;2;13;8;;2;1;1;1;1;1;1;1;2;;19;19;19;19;19;19;19;;3;;2;;;;;;;;;;;2;2;2;2;2;2;1;;1;2;2;2;2;1;;;;;;;;;;1
111660;1;05;05001;1;10;2;1;59;1;3;1;1;2;2;4;4;3;3;4;3;4;4;3;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;2;7;;40;5;2;;1;1;1;2;2;2;3;;1;1;1;1;1;1;1;1;3;6;;1;1;1;2;2;2;2;2;2;15;27;16;;;;;;;1;;1;2;;;;;;;1;;;1;2;1;2;2;2;2;;1;2;1;1;1;1;;;;;;;;;;1
111661;1;05;05001;1;10;2;1;53;1;3;2;1;1;2;4;4;2;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;20;1;7;;2;2;1;2;2;2;3;;1;1;;;;;1;1;3;5;;1;1;2;2;2;2;2;2;2;16;30;;;;;;;;1;;1;1;;;;;;;;;;1;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
111662;1;05;05001;1;10;2;1;63;1;3;1;1;3;2;4;4;3;4;4;4;4;3;4;1;;;;;;;1;;1;;3;1;;2;2;2;2;2;;;;;;1;1;;19;11;6;;1;2;1;2;2;2;3;;1;1;1;1;1;1;1;1;2;1;;1;2;2;2;2;2;2;2;2;15;;;;;;;;;1;;1;1;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111663;1;05;05001;1;10;2;1;33;2;3;1;1;3;2;4;3;4;4;3;2;4;3;4;1;;;;;;;;1;;;11;;;2;2;2;2;2;;;;;;1;7;;20;5;6;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;2;13;9;;1;2;1;1;1;2;2;2;2;12;;12;12;12;;;;;3;;1;2;;;;;;;1;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111664;1;05;05001;1;10;2;1;40;1;3;1;1;1;1;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;15;1;9;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;1;3;1;;2;2;2;2;2;1;2;2;2;;;;;;25;;;;6;3;2;;;;;;;;;;;1;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
111665;1;05;05001;1;10;2;1;47;1;3;1;1;3;2;4;4;3;3;4;4;4;4;3;1;;;;;;;;;;1;9;;;2;2;2;2;2;;;;;;1;1;;20;1;1;;2;2;1;2;2;2;3;;1;1;1;;1;1;1;1;3;7;;1;1;1;1;1;2;2;1;2;26;14;14;14;14;;;14;;5;;1;1;;;;;;;;;;1;1;2;2;1;2;1;;2;2;2;2;2;1;;;;;;;;;;1
111666;1;05;05001;1;10;2;1;26;2;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;6;1;9;;2;2;1;2;2;2;3;;1;1;1;;1;1;1;1;3;7;;1;1;2;2;1;2;2;1;2;18;18;;;18;;;18;;1;;1;1;;;;;;;;;;2;2;1;2;2;2;2;;2;2;2;2;1;1;;;;;;;;;;1
111667;1;05;05001;1;10;2;1;42;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;11;1;9;;2;2;2;2;2;2;;;;;;;;;;1;3;4;;2;2;2;2;1;2;2;2;2;;;;;15;;;;;5;;1;1;;;;;;;;;;2;2;1;2;2;2;1;;2;2;2;1;1;1;;;;;;;;;;1
111668;1;05;05001;1;10;2;1;40;2;3;1;1;3;2;3;4;4;2;4;4;4;4;3;1;;;1;;1;;;;1;;2;1;;2;2;2;2;2;;;;;;1;7;;25;1;1;;2;2;1;2;2;2;3;;1;1;;;;;;1;2;5;;2;1;1;1;2;2;2;2;2;;37;30;13;;;;;;4;;1;1;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;1;1;;;;;;;;;;1
111669;1;05;05001;1;10;2;1;57;1;3;2;1;1;2;3;4;2;1;2;4;4;3;3;1;;;;;;1;;;;1;11;;;2;2;2;2;2;;;;;;1;1;;35;9;9;;2;2;1;2;2;2;3;;1;1;;1;;1;1;1;2;9;;1;2;2;2;2;2;2;2;2;9;;;;;;;;;1;;1;1;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
111670;1;05;05001;1;10;2;1;61;1;3;2;1;3;2;4;4;3;4;4;4;4;4;4;1;;;;;;;;;;1;1;1;;2;2;2;2;2;;;;;;2;2;;25;10;6;;2;2;1;2;2;2;3;;1;1;1;1;1;1;1;1;2;9;;1;2;2;2;2;2;2;2;2;8;;;;;;;;;1;;1;1;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;5;;;;;;;;;;1
111671;1;05;05001;1;10;2;1;74;1;3;2;1;3;2;2;2;2;4;4;3;4;4;3;1;;;;;;;;;;1;8;;;1;1;2;2;2;1;1;;;;2;5;;1;4;9;;2;2;1;2;2;2;3;;1;1;;1;;1;1;1;13;4;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;;;;;;;;;;1;2;2;2;2;2;1;;2;2;2;1;2;1;;;;;;;;;;1
111672;1;05;05001;1;10;2;1;67;1;3;2;1;3;1;3;4;2;3;4;4;3;4;2;1;;;;;;;;;1;;1;1;;1;2;2;2;2;1;;;;;1;11;;3;10;9;;2;2;1;2;2;2;3;;1;1;;;;;;1;2;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;;;;;;;;;;2;2;2;2;1;2;1;;2;2;2;1;1;1;;;;;;;;;;1
111673;2;76;76001;1;09;1;1;31;1;3;2;1;1;2;4;4;4;4;2;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;4;1;9;;2;2;2;2;2;2;;;;;;;;;;1;5;5;;1;2;2;2;2;1;2;1;1;14;;;;;20;;20;20;6;1;2;;;;;;;;;;;2;2;2;2;2;1;1;;1;1;1;1;1;1;;;;;;;;;;1
111674;2;76;76001;1;09;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;50;;;;;1;;;1
111675;2;76;76001;1;09;1;1;53;1;3;1;1;2;1;4;4;3;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;20;4;6;;2;2;2;2;2;2;;;;;;;;;;1;3;1;;2;2;2;2;2;1;2;2;2;;;;;;13;;;;6;1;2;;;;;;;;;;;2;2;2;2;2;2;2;;1;2;2;2;2;1;;;;;;;;;;1
111676;2;76;76001;1;03;1;1;32;1;5;2;1;3;2;4;4;4;3;4;4;4;4;4;1;;1;;;;;;;;;1;1;;2;2;2;2;2;;;;;;1;7;;9;5;9;;2;2;2;1;2;2;4;;1;1;1;1;1;1;1;1;3;1;;2;2;1;2;1;2;2;2;2;;;20;;22;;;;;3;;1;1;;;;;;;;;;2;2;1;2;2;2;2;;1;2;2;2;1;1;;;;;;;;;;1
111677;2;76;76001;1;03;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;27;;;;;;;1;1
111678;1;76;76001;1;03;2;1;39;1;3;1;1;2;2;4;4;4;4;2;4;4;2;4;1;;;;;;;;;;1;1;1;;2;2;2;2;2;;;;;;1;7;;7;10;5;;2;2;2;1;2;2;4;;;;;;1;;;1;2;5;;2;2;1;2;2;1;2;2;2;;;10;;;29;;;;6;3;1;1;;;;;;;;;;1;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111679;2;76;76001;1;03;1;1;34;1;3;1;1;1;1;4;4;3;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;9;2;2;;2;2;2;2;2;2;;;;;;;;;;1;6;5;;1;2;1;2;1;1;2;2;2;9;;19;;15;26;;;;6;1;1;2;;1;;;;;1;;;2;2;1;2;2;2;2;;1;2;2;2;2;1;;;;;;;;;;1
111680;2;76;76001;1;03;1;1;43;1;2;2;1;1;2;4;4;4;4;3;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;25;1;9;;2;2;2;2;2;2;;;;;;;;;;1;3;5;;1;1;1;2;2;1;2;2;2;16;16;16;;;25;;;;6;3;1;1;;;;;;;;;;1;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111681;2;76;76001;1;09;1;1;49;1;3;2;1;1;1;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;2;1;;2;7;1;;2;1;2;2;2;2;2;;1;;;;;;;1;3;1;;2;2;1;2;2;1;2;2;2;;;14;;;10;;;;6;1;1;1;;;;;;;;;;1;2;1;2;2;2;1;;2;2;2;1;2;1;;;;;;;;;;1
111682;2;76;76001;1;03;1;1;39;2;3;1;1;1;1;4;4;4;4;4;4;4;4;4;1;;;;;;;;1;;;2;1;;2;2;2;2;2;;;;;;1;6;;10;5;9;;2;1;2;2;2;2;2;;1;;;;;;;1;2;3;;1;1;1;2;2;2;2;1;2;16;18;15;;;;;17;;1;;1;1;;;;;;;;;;1;2;1;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111683;1;76;76001;1;03;2;1;69;1;3;1;1;3;1;4;4;3;2;2;4;2;2;3;1;;;1;;;;;;;1;1;1;;1;2;2;2;1;1;;;;2;1;1;;49;8;9;;2;2;1;1;2;2;4;;1;1;1;;;1;1;2;1;9;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111684;2;76;76001;1;03;1;1;50;1;3;1;1;1;1;4;4;4;4;4;4;4;4;4;1;;;;;;;;1;;;11;;;2;2;2;2;2;;;;;;1;1;;20;1;9;;2;2;2;2;2;2;;;;;;;;;;1;2;5;;2;1;2;2;2;1;2;2;2;;35;;;;20;;;;2;;1;2;;;;;;;1;;;1;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111685;2;76;76001;1;03;2;1;59;1;3;1;1;3;2;4;4;3;4;4;4;4;4;4;1;;;;;;1;;;;;1;1;;2;2;2;2;2;;;;;;1;5;;30;10;9;;2;2;2;2;1;2;5;;1;1;1;1;1;1;1;1;3;9;;2;2;1;2;2;2;2;2;2;;;20;;;;;;;3;;1;1;;;;;;;;;;1;2;1;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111686;1;76;76001;1;03;2;1;41;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;4;7;3;;2;2;2;2;2;2;;;;;;;;;;1;4;2;;1;2;2;2;2;2;2;2;2;12;;;;;;;;;1;;2;;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;1;2;1;;;;;;;;;;1
111687;2;76;76001;1;03;1;1;35;2;3;1;1;1;2;4;4;3;4;4;4;4;4;3;1;1;1;1;;1;1;;1;;;3;1;;2;2;2;1;2;;;;1;;1;1;;4;1;3;;2;2;1;2;2;2;3;;1;;;;;;;1;3;6;;1;1;1;2;2;1;2;2;2;25;13;15;;;19;;;;6;1;2;;;;;;;;;;;2;1;1;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111688;2;76;76001;1;03;1;1;53;1;3;1;1;1;1;4;4;3;3;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;12;1;3;;2;2;2;2;2;2;;;;;;;;;;1;3;5;;2;2;2;2;2;1;2;2;2;;;;;;6;;;;6;4;2;;;;;;;;;;;2;2;2;2;2;2;1;;2;2;2;2;2;1;;;;;;;;;;1
111689;2;76;76001;1;03;1;1;64;1;3;1;1;1;1;4;4;3;3;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;2;;20;2;3;;2;1;2;2;2;2;2;;1;;;;1;1;1;1;3;5;;2;2;1;2;1;1;2;2;2;;;15;;20;22;;;;6;1;1;1;;;;;;;;;;2;2;2;1;2;2;2;;2;2;2;2;1;1;;;;;;;;;;1
111690;1;76;76001;1;03;2;1;29;2;3;1;1;2;1;4;4;4;4;4;4;4;4;4;1;;;;;;;;;;1;8;;;2;2;2;2;2;;;;;;1;10;;4;1;9;;2;2;2;1;2;2;4;;1;1;1;1;1;1;1;1;3;4;;1;1;1;1;1;2;2;1;2;14;12;14;20;16;;;20;;5;;1;1;;;;;;;;;;1;2;2;1;2;2;1;;2;2;1;1;1;1;;;;;;;;;;1
111691;2;76;76001;1;09;1;1;30;1;3;1;1;1;2;4;4;4;4;4;4;4;3;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;4;1;1;;1;1;2;2;2;2;1;1;1;;;;;;;1;3;5;;1;2;1;2;2;1;1;1;2;12;;12;;;16;15;13;;6;1;2;;;;;;;;;;;1;2;2;2;2;2;1;;2;2;1;2;1;1;;;;;;;;;;1
111692;2;76;76001;1;09;1;1;23;2;3;1;1;1;2;4;4;4;2;4;4;4;2;4;2;;;;;;;;;;;;;;2;2;2;2;1;;;;;2;1;7;;5;1;4;;1;2;2;2;2;2;1;1;1;;;;;;;1;3;8;;2;2;1;2;2;1;1;2;2;;;12;;;12;12;;;6;2;2;;;;;;;;;;;2;2;2;2;2;2;1;;1;2;2;2;2;1;;;;;;;;;;1
111693;1;76;76001;1;03;2;1;51;1;3;1;1;2;1;4;4;4;4;4;3;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;12;5;5;;2;2;2;1;2;2;4;;1;1;1;1;1;1;1;1;4;1;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111694;2;76;76001;1;09;1;1;24;1;3;2;1;1;2;4;4;4;4;4;4;4;4;4;1;;;;;;;;1;;;11;;;2;2;2;2;2;;;;;;1;1;;14;1;1;;1;2;2;2;2;2;1;1;1;;;;;;;1;2;1;;1;2;2;2;2;1;1;1;2;9;;;;;9;15;13;;7;;1;1;;;;;;;;;;1;1;1;1;2;2;1;;2;2;1;2;2;1;;;;;;;;;;1
111695;2;76;76001;1;03;1;1;36;1;3;1;1;2;2;4;4;4;4;4;4;4;4;4;1;;;;;;;;;;1;9;;;2;2;2;1;2;;;;2;;1;7;;31;7;1;;2;1;1;1;2;2;2;1;1;;;;;;1;1;3;5;;2;2;1;2;2;1;2;2;2;;;7;;;15;;;;6;2;1;1;;;;;;;;;;2;2;1;2;2;2;1;;1;2;2;2;1;1;;;;;;;;;;1
111696;2;76;76001;1;09;1;1;55;1;3;2;1;1;2;2;4;2;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;1;2;;;;1;;1;1;;46;9;9;;2;2;2;2;2;2;;;;;;;;;;1;2;9;;1;1;2;2;2;2;2;2;2;11;14;;;;;;;;2;;1;1;;;;;;;;;;2;2;1;2;2;2;2;;2;2;1;2;1;1;;;;;;;;;;1
111697;1;76;76001;1;03;2;1;41;1;3;1;1;2;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;28;10;9;;2;2;1;2;2;2;3;;1;1;1;;1;1;;1;2;9;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;;;;;;;;;;2;2;2;2;2;2;2;;1;1;1;1;2;1;;;;;;;;;;1
111698;2;76;76001;1;09;1;1;33;1;3;1;1;1;1;4;4;4;4;4;4;4;4;1;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;15;7;9;;2;2;2;2;2;2;;;;;;;;;;1;3;5;;1;1;1;2;2;1;2;2;1;12;18;11;;;13;;;13;6;1;1;1;;;;;;;;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111699;1;76;76001;1;03;1;1;56;1;3;1;1;1;2;4;4;4;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;1;;20;1;9;;2;2;2;2;2;2;;;;;;;;;;2;13;4;;2;1;2;2;2;1;2;2;2;;20;;;;20;;;;6;1;2;;;;;;;;;;;2;2;2;2;2;2;2;;1;2;2;2;2;1;;;;;;;;;;1
111700;2;76;76001;1;09;1;1;24;1;3;1;1;1;2;4;4;2;4;4;4;4;4;4;2;;;;;;;;;;;;;;2;2;2;2;2;;;;;;1;7;;3;7;4;;1;2;2;2;2;2;1;;1;;;;;;;1;3;5;;1;2;1;2;2;1;1;1;2;10;;10;;;20;24;15;;7;;2;;;;;;;;;;;2;2;1;2;2;2;1;;2;2;2;2;1;1;;;;;;;;;;1
111701;2;76;76001;1;03;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;40;;;;;1;;;1
111702;2;76;76001;1;09;1;1;58;1;3;1;1;1;2;4;4;3;2;4;4;4;4;4;2;;;;;;;;;;;;;;2;1;2;2;2;;2;;;;2;2;;25;1;9;;2;2;2;2;2;2;;;;;;;;;;1;4;5;;1;2;2;2;2;1;2;2;1;16;;;;;16;;;16;9;;1;2;;;;;;;1;;;2;2;2;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111703;1;76;76001;1;03;2;1;21;2;3;2;1;3;2;4;4;4;4;4;4;4;4;4;1;;;;;;;;;;1;4;;;2;2;2;2;2;;;;;;1;2;;6;7;8;;2;2;2;1;2;2;4;;1;1;1;1;1;1;1;1;3;1;;1;2;1;2;1;2;2;1;2;14;;14;;14;;;14;;1;;2;;;;;;;;;;;2;2;1;2;2;2;2;;2;2;2;2;2;1;;;;;;;;;;1
111704;1;76;76001;1;03;1;1;55;1;3;1;1;1;1;3;4;3;4;4;4;4;4;4;1;;;;;;;;1;;;10;;;2;2;2;2;2;;;;;;1;7;;20;1;9;;2;2;2;2;2;2;;;;;;;;;;1;2;5;;1;1;1;2;2;1;2;2;2;15;15;15;;;15;;;;6;1;2;;;;;;;;;;;1;2;1;1;2;2;2;;2;2;2;1;1;1;;;;;;;;;;1
